threshold,CPR,IDR
0.0, 0.10955710955710955, 0.9583333333333334
0.01, 0.07925407925407925, 0.9637681159420289
0.02, 0.07925407925407925, 0.9637681159420289
0.03, 0.09090909090909091, 0.967391304347826
0.04, 0.09090909090909091, 0.967391304347826
0.05, 0.09324009324009325, 0.967391304347826
0.06, 0.11655011655011654, 0.967391304347826
0.07, 0.13986013986013987, 0.9782608695652174
0.08, 0.17482517482517482, 0.9420289855072463
0.09, 0.18414918414918416, 0.9438405797101449
0.1, 0.18414918414918416, 0.9438405797101449
0.11, 0.19114219114219114, 0.9420289855072463
0.12, 0.20512820512820512, 0.9365942028985508
0.13, 0.23543123543123542, 0.9003623188405797
0.14, 0.21678321678321677, 0.9365942028985508
0.15, 0.2191142191142191, 0.9365942028985508
0.16, 0.20279720279720279, 0.9456521739130435
0.17, 0.21678321678321677, 0.9438405797101449
0.18, 0.19813519813519814, 0.9492753623188406
0.19, 0.19114219114219114, 0.947463768115942
0.2, 0.19114219114219114, 0.947463768115942
0.21, 0.1794871794871795, 0.9710144927536232
0.22, 0.19347319347319347, 0.9492753623188406
0.23, 0.1864801864801865, 0.9510869565217391
0.24, 0.20745920745920746, 0.947463768115942
0.25, 0.20046620046620048, 0.9456521739130435
0.26, 0.1888111888111888, 0.8985507246376812
0.27, 0.16083916083916083, 0.894927536231884
0.28, 0.1561771561771562, 0.9221014492753623
0.29, 0.16083916083916083, 0.9166666666666666
0.3, 0.1958041958041958, 0.8840579710144928
0.31, 0.20512820512820512, 0.8840579710144928
0.32, 0.23543123543123542, 0.8242753623188406
0.33, 0.21445221445221446, 0.8369565217391305
0.34, 0.21212121212121213, 0.8514492753623188
0.35, 0.2517482517482518, 0.842391304347826
0.36, 0.28205128205128205, 0.8405797101449275
0.37, 0.2867132867132867, 0.8514492753623188
0.38, 0.3076923076923077, 0.8333333333333334
0.39, 0.25874125874125875, 0.782608695652174
0.4, 0.3076923076923077, 0.7971014492753623
0.41, 0.4662004662004662, 0.7409420289855072
0.42, 0.38927738927738925, 0.7735507246376812
0.43, 0.43123543123543123, 0.7481884057971014
0.44, 0.4592074592074592, 0.7192028985507246
0.45, 0.38461538461538464, 0.7862318840579711
0.46, 0.4382284382284382, 0.7681159420289855
0.47, 0.40559440559440557, 0.7427536231884058
0.48, 0.4172494172494173, 0.7989130434782609
0.49, 0.3939393939393939, 0.7753623188405797
0.5, 0.41025641025641024, 0.8260869565217391
0.51, 0.4382284382284382, 0.7807971014492754
0.52, 0.4755244755244755, 0.7481884057971014
0.53, 0.5128205128205128, 0.7228260869565217
0.54, 0.46153846153846156, 0.7355072463768116
0.55, 0.46853146853146854, 0.7047101449275363
0.56, 0.5151515151515151, 0.7336956521739131
0.57, 0.4358974358974359, 0.7246376811594203
0.58, 0.48951048951048953, 0.7101449275362319
0.59, 0.5221445221445221, 0.6920289855072463
0.6, 0.5128205128205128, 0.677536231884058
0.61, 0.4592074592074592, 0.7318840579710145
0.62, 0.46853146853146854, 0.7264492753623188
0.63, 0.5337995337995338, 0.6811594202898551
0.64, 0.5990675990675991, 0.6557971014492754
0.65, 0.5524475524475524, 0.6177536231884058
0.66, 0.5804195804195804, 0.6123188405797102
0.67, 0.5710955710955711, 0.6123188405797102
0.68, 0.5501165501165501, 0.6213768115942029
0.69, 0.5431235431235432, 0.6195652173913043
0.7, 0.5571095571095571, 0.592391304347826
0.71, 0.6083916083916084, 0.5742753623188406
0.72, 0.5967365967365967, 0.5778985507246377
0.73, 0.7062937062937062, 0.48188405797101447
0.74, 0.7249417249417249, 0.45471014492753625
0.75, 0.7645687645687645, 0.4945652173913043
0.76, 0.7412587412587412, 0.4746376811594203
0.77, 0.7762237762237763, 0.47644927536231885
0.78, 0.8275058275058275, 0.45652173913043476
0.79, 0.6736596736596736, 0.5036231884057971
0.8, 0.7062937062937062, 0.4945652173913043
0.81, 0.710955710955711, 0.4782608695652174
0.82, 0.6783216783216783, 0.5018115942028986
0.83, 0.6596736596736597, 0.5072463768115942
0.84, 0.668997668997669, 0.5054347826086957
0.85, 0.7412587412587412, 0.43478260869565216
0.86, 0.7575757575757576, 0.45471014492753625
0.87, 0.7972027972027972, 0.427536231884058
0.88, 0.8461538461538461, 0.45108695652173914
0.89, 0.8951048951048951, 0.39855072463768115
0.9, 0.8997668997668997, 0.38768115942028986
0.91, 0.8834498834498834, 0.39311594202898553
0.92, 0.8997668997668997, 0.3894927536231884
0.93, 0.9090909090909091, 0.3858695652173913
0.94, 0.9184149184149184, 0.3423913043478261
0.95, 0.9324009324009324, 0.3278985507246377
0.96, 0.9277389277389277, 0.32608695652173914
0.97, 0.9370629370629371, 0.27898550724637683
0.98, 0.9370629370629371, 0.23369565217391305
0.99, 0.958041958041958, 0.161231884057971
1.0, 0.9766899766899767, 0.1286231884057971
